regime,start,end,bars,hours,days
BALANCE__NORMAL_VOL,2022-08-06 16:00:00+00:00,2022-08-07 04:00:00+00:00,3,12.0,0.5
BALANCE__LOW_VOL,2022-08-07 04:00:00+00:00,2022-08-07 12:00:00+00:00,2,8.0,0.3333333333333333
BALANCE__NORMAL_VOL,2022-08-07 12:00:00+00:00,2022-08-10 08:00:00+00:00,17,68.0,2.8333333333333335
BALANCE__LOW_VOL,2022-08-10 08:00:00+00:00,2022-08-10 12:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-08-10 12:00:00+00:00,2022-08-11 08:00:00+00:00,5,20.0,0.8333333333333334
BALANCE__LOW_VOL,2022-08-11 08:00:00+00:00,2022-08-11 12:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-08-11 12:00:00+00:00,2022-08-12 12:00:00+00:00,6,24.0,1.0
BALANCE__LOW_VOL,2022-08-12 12:00:00+00:00,2022-08-12 16:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-08-12 16:00:00+00:00,2022-08-19 04:00:00+00:00,39,156.0,6.5
BALANCE__HIGH_VOL,2022-08-19 04:00:00+00:00,2022-08-19 08:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-08-19 08:00:00+00:00,2022-08-20 00:00:00+00:00,4,16.0,0.6666666666666666
IMBALANCE__NORMAL_VOL,2022-08-20 00:00:00+00:00,2022-08-22 12:00:00+00:00,15,60.0,2.5
BALANCE__NORMAL_VOL,2022-08-22 12:00:00+00:00,2022-08-29 00:00:00+00:00,39,156.0,6.5
IMBALANCE__NORMAL_VOL,2022-08-29 00:00:00+00:00,2022-08-29 20:00:00+00:00,5,20.0,0.8333333333333334
BALANCE__NORMAL_VOL,2022-08-29 20:00:00+00:00,2022-09-03 12:00:00+00:00,28,112.0,4.666666666666667
BALANCE__LOW_VOL,2022-09-03 12:00:00+00:00,2022-09-03 16:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-09-03 16:00:00+00:00,2022-09-03 20:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__LOW_VOL,2022-09-03 20:00:00+00:00,2022-09-04 04:00:00+00:00,2,8.0,0.3333333333333333
BALANCE__NORMAL_VOL,2022-09-04 04:00:00+00:00,2022-09-10 08:00:00+00:00,37,148.0,6.166666666666667
IMBALANCE__NORMAL_VOL,2022-09-10 08:00:00+00:00,2022-09-12 00:00:00+00:00,10,40.0,1.6666666666666667
BALANCE__NORMAL_VOL,2022-09-12 00:00:00+00:00,2022-09-12 04:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__NORMAL_VOL,2022-09-12 04:00:00+00:00,2022-09-12 08:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-09-12 08:00:00+00:00,2022-09-12 20:00:00+00:00,3,12.0,0.5
IMBALANCE__NORMAL_VOL,2022-09-12 20:00:00+00:00,2022-09-13 00:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-09-13 00:00:00+00:00,2022-09-18 08:00:00+00:00,32,128.0,5.333333333333333
BALANCE__HIGH_VOL,2022-09-18 08:00:00+00:00,2022-09-18 12:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-09-18 12:00:00+00:00,2022-09-18 16:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__HIGH_VOL,2022-09-18 16:00:00+00:00,2022-09-18 20:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__HIGH_VOL,2022-09-18 20:00:00+00:00,2022-09-19 04:00:00+00:00,2,8.0,0.3333333333333333
BALANCE__NORMAL_VOL,2022-09-19 04:00:00+00:00,2022-09-20 12:00:00+00:00,8,32.0,1.3333333333333333
BALANCE__HIGH_VOL,2022-09-20 12:00:00+00:00,2022-09-20 16:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-09-20 16:00:00+00:00,2022-09-21 16:00:00+00:00,6,24.0,1.0
BALANCE__HIGH_VOL,2022-09-21 16:00:00+00:00,2022-09-21 20:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-09-21 20:00:00+00:00,2022-09-22 04:00:00+00:00,2,8.0,0.3333333333333333
IMBALANCE__NORMAL_VOL,2022-09-22 04:00:00+00:00,2022-09-22 16:00:00+00:00,3,12.0,0.5
IMBALANCE__HIGH_VOL,2022-09-22 16:00:00+00:00,2022-09-22 20:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__NORMAL_VOL,2022-09-22 20:00:00+00:00,2022-09-23 00:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__HIGH_VOL,2022-09-23 00:00:00+00:00,2022-09-23 12:00:00+00:00,3,12.0,0.5
IMBALANCE__NORMAL_VOL,2022-09-23 12:00:00+00:00,2022-09-24 04:00:00+00:00,4,16.0,0.6666666666666666
BALANCE__NORMAL_VOL,2022-09-24 04:00:00+00:00,2022-09-24 08:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__NORMAL_VOL,2022-09-24 08:00:00+00:00,2022-09-24 12:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-09-24 12:00:00+00:00,2022-09-24 16:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__NORMAL_VOL,2022-09-24 16:00:00+00:00,2022-09-25 00:00:00+00:00,2,8.0,0.3333333333333333
BALANCE__NORMAL_VOL,2022-09-25 00:00:00+00:00,2022-09-25 04:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__NORMAL_VOL,2022-09-25 04:00:00+00:00,2022-09-25 16:00:00+00:00,3,12.0,0.5
BALANCE__NORMAL_VOL,2022-09-25 16:00:00+00:00,2022-09-26 08:00:00+00:00,4,16.0,0.6666666666666666
IMBALANCE__NORMAL_VOL,2022-09-26 08:00:00+00:00,2022-09-26 12:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-09-26 12:00:00+00:00,2022-09-27 16:00:00+00:00,7,28.0,1.1666666666666667
IMBALANCE__HIGH_VOL,2022-09-27 16:00:00+00:00,2022-09-27 20:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-09-27 20:00:00+00:00,2022-09-28 00:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__HIGH_VOL,2022-09-28 00:00:00+00:00,2022-09-28 04:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-09-28 04:00:00+00:00,2022-09-29 20:00:00+00:00,10,40.0,1.6666666666666667
BALANCE__HIGH_VOL,2022-09-29 20:00:00+00:00,2022-09-30 00:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-09-30 00:00:00+00:00,2022-10-02 08:00:00+00:00,14,56.0,2.3333333333333335
BALANCE__HIGH_VOL,2022-10-02 08:00:00+00:00,2022-10-02 12:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-10-02 12:00:00+00:00,2022-10-05 16:00:00+00:00,19,76.0,3.1666666666666665
BALANCE__HIGH_VOL,2022-10-05 16:00:00+00:00,2022-10-05 20:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-10-05 20:00:00+00:00,2022-10-07 08:00:00+00:00,9,36.0,1.5
IMBALANCE__NORMAL_VOL,2022-10-07 08:00:00+00:00,2022-10-07 12:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-10-07 12:00:00+00:00,2022-10-07 16:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__HIGH_VOL,2022-10-07 16:00:00+00:00,2022-10-07 20:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__NORMAL_VOL,2022-10-07 20:00:00+00:00,2022-10-09 00:00:00+00:00,7,28.0,1.1666666666666667
BALANCE__NORMAL_VOL,2022-10-09 00:00:00+00:00,2022-10-09 04:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__NORMAL_VOL,2022-10-09 04:00:00+00:00,2022-10-09 08:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-10-09 08:00:00+00:00,2022-10-09 12:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__NORMAL_VOL,2022-10-09 12:00:00+00:00,2022-10-10 20:00:00+00:00,8,32.0,1.3333333333333333
BALANCE__HIGH_VOL,2022-10-10 20:00:00+00:00,2022-10-11 00:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-10-11 00:00:00+00:00,2022-10-13 00:00:00+00:00,12,48.0,2.0
BALANCE__HIGH_VOL,2022-10-13 00:00:00+00:00,2022-10-13 08:00:00+00:00,2,8.0,0.3333333333333333
BALANCE__NORMAL_VOL,2022-10-13 08:00:00+00:00,2022-10-19 12:00:00+00:00,37,148.0,6.166666666666667
IMBALANCE__NORMAL_VOL,2022-10-19 12:00:00+00:00,2022-10-20 04:00:00+00:00,4,16.0,0.6666666666666666
BALANCE__NORMAL_VOL,2022-10-20 04:00:00+00:00,2022-10-20 16:00:00+00:00,3,12.0,0.5
IMBALANCE__NORMAL_VOL,2022-10-20 16:00:00+00:00,2022-10-20 20:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-10-20 20:00:00+00:00,2022-10-21 00:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__NORMAL_VOL,2022-10-21 00:00:00+00:00,2022-10-21 16:00:00+00:00,4,16.0,0.6666666666666666
BALANCE__NORMAL_VOL,2022-10-21 16:00:00+00:00,2022-11-05 20:00:00+00:00,91,364.0,15.166666666666666
IMBALANCE__NORMAL_VOL,2022-11-05 20:00:00+00:00,2022-11-06 20:00:00+00:00,6,24.0,1.0
BALANCE__NORMAL_VOL,2022-11-06 20:00:00+00:00,2022-11-08 00:00:00+00:00,7,28.0,1.1666666666666667
BALANCE__HIGH_VOL,2022-11-08 00:00:00+00:00,2022-11-08 04:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-11-08 04:00:00+00:00,2022-11-08 16:00:00+00:00,3,12.0,0.5
BALANCE__HIGH_VOL,2022-11-08 16:00:00+00:00,2022-11-08 20:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-11-08 20:00:00+00:00,2022-11-09 00:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__HIGH_VOL,2022-11-09 00:00:00+00:00,2022-11-09 04:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-11-09 04:00:00+00:00,2022-11-09 08:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__HIGH_VOL,2022-11-09 08:00:00+00:00,2022-11-09 12:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__NORMAL_VOL,2022-11-09 12:00:00+00:00,2022-11-09 20:00:00+00:00,2,8.0,0.3333333333333333
IMBALANCE__HIGH_VOL,2022-11-09 20:00:00+00:00,2022-11-10 00:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__NORMAL_VOL,2022-11-10 00:00:00+00:00,2022-11-11 08:00:00+00:00,8,32.0,1.3333333333333333
BALANCE__NORMAL_VOL,2022-11-11 08:00:00+00:00,2022-11-11 12:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__HIGH_VOL,2022-11-11 12:00:00+00:00,2022-11-11 16:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-11-11 16:00:00+00:00,2022-11-13 16:00:00+00:00,12,48.0,2.0
BALANCE__HIGH_VOL,2022-11-13 16:00:00+00:00,2022-11-13 20:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__HIGH_VOL,2022-11-13 20:00:00+00:00,2022-11-14 04:00:00+00:00,2,8.0,0.3333333333333333
