date,balance,daily_pnl
2022-11-26,1218.57,-35.68
2022-11-28,1139.93,-78.64
2022-11-29,1107.57,-32.36
2022-12-03,1131.66,24.09
2022-12-06,1107.39,-24.27
2022-12-07,1048.32,-59.07
2022-12-12,1058.85,10.53
2022-12-14,1050.35,-8.5
2022-12-16,1029.05,-21.3
2022-12-17,992.05,-37.0
2022-12-19,1001.74,9.69
2022-12-21,1032.99,31.25
2022-12-24,1021.89,-11.1
2022-12-25,1010.88,-11.01
2022-12-27,939.2,-71.68
2022-12-28,1018.27,79.07
2022-12-30,1079.35,61.08
2023-01-03,1049.96,-29.39
2023-01-04,1017.35,-32.61
2023-01-05,1024.93,7.58
2023-01-06,986.24,-38.69
2023-01-07,1007.19,20.95
2023-01-08,1016.21,9.02
2023-01-09,968.35,-47.86
2023-01-11,988.53,20.18
2023-01-12,1308.5,319.97
2023-01-13,1271.22,-37.28
2023-01-16,1235.18,-36.04
2023-01-18,1288.44,53.26
2023-01-19,1266.54,-21.9
2023-01-20,1246.33,-20.21
2023-01-21,1273.53,27.2
2023-01-22,1264.91,-8.62
2023-01-24,1276.73,11.82
2023-01-27,1203.04,-73.69
2023-01-29,1246.53,43.49
2023-01-30,1221.43,-25.1
2023-02-02,1173.83,-47.6
2023-02-04,1185.04,11.21
2023-02-05,1186.25,1.21
2023-02-07,1173.5,-12.75
2023-02-09,1306.1,132.6
2023-02-10,1290.88,-15.22
2023-02-11,1317.61,26.73
2023-02-13,1274.75,-42.86
2023-02-15,1251.72,-23.03
2023-02-17,1175.79,-75.93
2023-02-19,1120.53,-55.26
2023-02-20,1142.74,22.21
2023-02-21,1120.16,-22.58
2023-02-23,1094.15,-26.01
2023-02-25,1063.8,-30.35
2023-02-28,1021.01,-42.79
2023-03-03,1107.97,86.96
2023-03-06,1095.97,-12.0
2023-03-07,1064.91,-31.06
2023-03-08,967.91,-97.0
2023-03-09,902.45,-65.46
2023-03-10,998.46,96.01
2023-03-11,960.41,-38.05
2023-03-12,950.12,-10.29
2023-03-13,925.55,-24.57
2023-03-14,970.61,45.06
2023-03-17,1060.37,89.76
2023-03-18,1029.7,-30.67
2023-03-20,970.65,-59.05
2023-03-21,965.17,-5.48
2023-03-22,974.82,9.65
2023-03-23,964.65,-10.17
2023-03-28,1280.88,316.23
2023-03-30,1296.11,15.23
2023-03-31,1255.73,-40.38
2023-04-01,1283.02,27.29
2023-04-03,1236.34,-46.68
2023-04-04,1220.37,-15.97
2023-04-10,1185.1,-35.27
2023-04-11,1192.03,6.93
2023-04-13,1176.28,-15.75
2023-04-14,1129.73,-46.55
2023-04-15,1154.54,24.81
2023-04-16,1135.2,-19.34
2023-04-17,1103.14,-32.06
2023-04-18,1033.32,-69.82
2023-04-20,1075.66,42.34
2023-04-21,1030.69,-44.97
2023-04-23,1096.38,65.69
2023-04-24,1108.69,12.31
2023-04-25,1105.03,-3.66
2023-04-26,1081.35,-23.68
2023-04-27,1082.08,0.73
