stages,n_stages,mfe1,lock1,n,win_pct,be_pct,sl_pct,avg_r,total_r,max_dd,dd_per_trade,ann_r,delta_r
"[(3.0, 0.25), (3.5, 3.25)]",2,3.0,0.25,226,6.6,28.3,65.0,0.4956,112.01,10.73,0.0475,26.2,-30.3
"[(3.0, 0.25), (4.0, 0.5)]",2,3.0,0.25,226,26.5,8.4,65.0,0.5775,130.51,10.81,0.0478,30.5,-11.8
"[(3.0, 0.25), (4.0, 0.75)]",2,3.0,0.25,226,26.5,8.4,65.0,0.5797,131.01,10.81,0.0478,30.6,-11.3
"[(3.0, 0.25), (4.0, 3.75)]",2,3.0,0.25,226,11.9,23.0,65.0,0.5332,120.51,10.81,0.0478,28.1,-21.8
"[(2.5, 0.25), (3.0, 0.5)]",2,2.5,0.25,226,24.8,12.4,62.8,0.5549,125.41,10.28,0.0455,29.3,-16.9
"[(2.5, 0.25), (3.0, 0.75)]",2,2.5,0.25,226,23.0,14.2,62.8,0.5162,116.66,13.23,0.0585,27.2,-25.6
"[(2.5, 0.25), (3.0, 2.75)]",2,2.5,0.25,226,4.0,33.2,62.8,0.452,102.16,11.23,0.0497,23.9,-40.1
"[(2.5, 0.25), (3.5, 0.5)]",2,2.5,0.25,226,24.8,12.4,62.8,0.5438,122.91,10.28,0.0455,28.7,-19.4
"[(2.5, 0.25), (3.5, 0.75)]",2,2.5,0.25,226,23.9,13.3,62.8,0.525,118.66,10.28,0.0455,27.7,-23.6
"[(2.5, 0.25), (3.5, 3.25)]",2,2.5,0.25,226,6.6,30.5,62.8,0.4963,112.16,10.73,0.0475,26.2,-30.1
