trade_id,stream,sym,side,entry_ts,exit_ts,duration_h,entry_price,stop_price,tp_price,pnl_r,reason,bars_5m,risk_pct,balance_before,dollar_risk,dollar_pnl,balance_after
2140,S1_ETHUSDT,ETHUSDT,1,2025-10-10 16:00:00+00:00,2025-10-10 16:30:00+00:00,0.5,4100.49,4067.44,4530.14,0.762779,BE,7,1.2411,2064.51,25.62,19.54,2084.05
2141,S2,LINKUSDT,-1,2025-10-10 16:00:00+00:00,2025-10-10 21:10:00+00:00,5.17,21.364,22.37669352,18.49136725,4.240518,TP,63,3.3981,2064.51,70.15,297.49,2658.29
2142,S3,BTCUSDT,-1,2025-10-10 17:00:00+00:00,2025-10-10 21:10:00+00:00,4.17,118150.0,119809.10826231,109854.45868843,4.978636,TP,51,1.0606,2084.05,22.1,110.05,2768.34
2143,S3,BTCUSDT,-1,2025-10-10 18:00:00+00:00,2025-10-10 21:10:00+00:00,3.17,117590.8,119254.55767215,109272.01163926,4.978797,TP,39,1.0606,2084.05,22.1,110.05,2878.39
2144,S2,LINKUSDT,-1,2025-10-10 19:00:00+00:00,2025-10-10 21:10:00+00:00,2.17,20.918,21.20397684,18.08597881,4.240583,TP,27,3.3981,2084.05,70.82,300.31,3178.7
2145,S3,ETHUSDT,-1,2025-10-10 19:00:00+00:00,2025-10-10 21:15:00+00:00,2.25,4051.85,4154.00991357,3541.05043214,4.988101,TP,28,1.0606,2084.05,22.1,110.25,3399.24
2146,S3,SOLUSDT,-1,2025-10-10 19:00:00+00:00,2025-10-10 21:10:00+00:00,2.17,207.36,213.32108573,177.55457134,4.989564,TP,27,1.0606,2084.05,22.1,110.29,3288.99
2147,S1_SOLUSDT,SOLUSDT,1,2025-10-10 20:00:00+00:00,2025-10-10 20:20:00+00:00,0.33,205.16,203.14,231.42,0.769531,BE,5,2.7132,2084.05,56.54,43.51,2127.57
2148,S1_BTCUSDT,BTCUSDT,1,2025-10-11 00:00:00+00:00,2025-11-04 17:05:00+00:00,593.08,112715.0,101516.5,258295.5,-1.00302,SL,7118,1.5086,3399.24,51.28,-51.44,3478.51
2149,S1_LINKUSDT,LINKUSDT,1,2025-10-11 00:00:00+00:00,2026-02-05 20:15:00+00:00,2828.25,17.279,8.164,135.774,-1.000569,SL,33940,2.8,3399.24,95.18,-95.23,10383.89
