ym,stream,n_trades,total_r,total_pnl
2025-09,S4,3,-1.0689410000000001,-41.86
2025-10,S1_ETHUSDT,5,1.9216889999999998,58.81
2025-10,S1_SOLUSDT,7,-0.4446190000000002,-16.590000000000003
2025-10,S1_XRPUSDT,5,-3.4995849999999997,-442.17999999999995
2025-10,S2,11,15.921329000000002,1171.3
2025-10,S3,21,14.717277,216.73000000000002
2025-10,S4,4,-4.0493559999999995,-217.97
2025-11,S1_BTCUSDT,10,-1.8540969999999999,-53.94000000000001
2025-11,S1_ETHUSDT,7,-3.794155,-153.69
2025-11,S1_SOLUSDT,7,-1.958889,-144.72
2025-11,S1_XRPUSDT,7,-2.033481,-695.1600000000001
2025-11,S2,18,35.45861,4217.07
2025-11,S3,16,37.773699,1145.47
2025-11,S4,2,-2.0188249999999996,-192.84
2025-12,S1_ETHUSDT,4,-0.696179,-78.22
2025-12,S1_SOLUSDT,1,0.777048,171.34
2025-12,S1_XRPUSDT,4,1.2152690000000002,377.85
2025-12,S2,5,5.874435999999999,1536.3899999999999
2025-12,S3,18,-18.228332,-1464.17
2025-12,S4,6,1.9047180000000001,282.91999999999996
2026-01,S1_ETHUSDT,3,0.23856999999999984,32.760000000000005
2026-01,S1_SOLUSDT,8,-1.085238,-181.27999999999997
2026-01,S1_XRPUSDT,6,-0.881548,-273.58000000000004
2026-01,S2,8,3.467194,784.4100000000001
2026-01,S3,17,36.684651,2960.73
2026-01,S4,2,1.960234,318.90999999999997
2026-02,S1_BTCUSDT,3,0.4878180000000003,86.00999999999999
2026-02,S1_ETHUSDT,4,-2.310845,-297.65999999999997
2026-02,S1_LINKUSDT,5,-1.6873000000000002,-313.53000000000003
2026-02,S1_SOLUSDT,8,-6.532951,-1793.09
2026-02,S1_XRPUSDT,6,-4.500211999999999,-2013.04
2026-02,S2,2,3.438699,1179.52
2026-02,S3,21,14.731307000000001,1621.82
2026-02,S4,2,-2.030298,-402.88
