session_day,anchor_ms,anchor_et,event_type,level,hit_ms,hit_et,minutes_to_hit,anchor_close,hit_close,move_anchor_to_hit_pct,hit_candle_range,hit_candle_range_pct_of_level,hit_candle_volume,hit_volume_zscore_24bars,forward_close,forward_return_pct,continuation_move_abs,continuation_move_pct_of_level
2025-04-28,1745874000000,2025-04-28 17:00,daily_high,2.2943,1745875800000,2025-04-28 17:30,30.0,2.2882,2.2907,0.1093,0.0045999999999999375,0.2005,627677.3,-2.2873,2.2957,0.2183,0.012,0.523
2025-04-29,1745960400000,2025-04-29 17:00,daily_low,2.2476,1745965200000,2025-04-29 18:20,80.0,2.2745,2.2462,-1.2442,0.008600000000000385,0.3826,4482627.7,0.8852,2.2239,-0.9928,0.0272,1.2102
2025-04-30,1746046800000,2025-04-30 17:00,daily_low,2.2204,1746046800000,2025-04-30 17:00,0.0,2.196,2.196,0.0,0.0030999999999998806,0.1396,978886.2,0.0,2.2049,0.4053,0.0246,1.1079
2025-05-02,1746219600000,2025-05-02 17:00,daily_low,2.1918,1746268800000,2025-05-03 06:40,820.0,2.213,2.1885,-1.1071,0.006999999999999673,0.3194,4506971.7,7.2356,2.1878,-0.032,0.0094,0.4289
2025-05-07,1746651600000,2025-05-07 17:00,daily_high,2.1707,1746672600000,2025-05-07 22:50,350.0,2.1189,2.1681,2.322,0.0041999999999999815,0.1935,4097880.7,0.5754,2.1788,0.4935,0.0119,0.5482
2025-05-12,1747083600000,2025-05-12 17:00,daily_high,2.4174,1747083600000,2025-05-12 17:00,0.0,2.5264,2.5264,0.0,0.00790000000000024,0.3268,3187557.6,0.0,2.5393,0.5106,0.1263,5.2246
2025-05-15,1747342800000,2025-05-15 17:00,daily_low,2.51,1747342800000,2025-05-15 17:00,0.0,2.4303,2.4303,0.0,0.008799999999999919,0.3506,2295596.9,0.0,2.4298,-0.0206,0.1177,4.6892
2025-05-21,1747861200000,2025-05-21 17:00,daily_high,2.392,1747867200000,2025-05-21 18:40,100.0,2.3789,2.3963,0.7314,0.017000000000000348,0.7107,8805100.6,19.9876,2.4005,0.1753,0.0241,1.0075
2025-05-23,1748034000000,2025-05-23 17:00,daily_low,2.385,1748034000000,2025-05-23 17:00,0.0,2.3235,2.3235,0.0,0.0047999999999999154,0.2013,2260609.0,0.0,2.3242,0.0301,0.0646,2.7086
2025-05-28,1748466000000,2025-05-28 17:00,daily_low,2.2828,1748466000000,2025-05-28 17:00,0.0,2.2509,2.2509,0.0,0.0026999999999999247,0.1183,1001883.2,0.0,2.2588,0.351,0.0335,1.4675
2025-06-02,1748898000000,2025-06-02 17:00,daily_high,2.1871,1748901600000,2025-06-02 18:00,60.0,2.1785,2.1907,0.56,0.009700000000000042,0.4435,4828273.1,10.0425,2.1947,0.1826,0.0171,0.7819
2025-06-03,1748984400000,2025-06-03 17:00,daily_high,2.2215,1748984400000,2025-06-03 17:00,0.0,2.2625,2.2625,0.0,0.01200000000000001,0.5402,4980723.9,0.0,2.2451,-0.7691,0.0488,2.1967
2025-06-04,1749070800000,2025-06-04 17:00,daily_low,2.1828,1749109500000,2025-06-05 03:45,645.0,2.1967,2.184,-0.5781,0.005700000000000038,0.2611,2678570.7,0.8997,2.1943,0.4716,0.0002,0.0092
2025-06-05,1749157200000,2025-06-05 17:00,daily_low,2.1936,1749157200000,2025-06-05 17:00,0.0,2.0804,2.0804,0.0,0.02670000000000039,1.2172,10962860.3,0.0,2.0894,0.4326,0.1256,5.7257
