symbol,tp_r,entry_ts_utc,exit_ts_utc,entry_idx_4h,side,entry_price,stop_init,risk,tp_price,mfe1,lock1,mfe2,lock2,mfe3,lock3,rsi_l,rsi_h,rsi_window,sl_n,entry_tp_r,fee_bps,baseline_r,managed_r,managed_reason,hold_5m_bars
BTCUSDT,14.0,2022-12-30T08:00:00+00:00,2022-12-30T14:45:00+00:00,1799,1,16467.6,16410.0,57.599999999998545,17273.999999999978,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0857687500000022,-1.0857687500000022,SL,82
BTCUSDT,14.0,2023-01-10T20:00:00+00:00,2023-01-10T20:05:00+00:00,1868,-1,17424.1,17448.0,23.900000000001455,17089.499999999978,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.2187125523012419,0.48128744769869725,BE,2
BTCUSDT,14.0,2023-01-12T00:00:00+00:00,2023-01-12T00:50:00+00:00,1875,-1,17935.6,18013.2,77.60000000000218,16849.199999999968,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0693386597938124,-1.0693386597938124,SL,11
BTCUSDT,14.0,2023-01-21T00:00:00+00:00,2023-01-21T00:05:00+00:00,1929,-1,22661.0,22750.0,89.0,21415.0,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0763853932584269,-1.0763853932584269,SL,2
BTCUSDT,14.0,2023-01-22T08:00:00+00:00,2023-01-22T20:05:00+00:00,1937,-1,22893.2,23298.2,405.0,17223.2,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0169579259259258,0.683042074074074,BE,146
BTCUSDT,14.0,2023-02-09T20:00:00+00:00,2023-02-09T20:15:00+00:00,2048,1,22027.3,21862.1,165.20000000000073,24340.10000000001,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.040001150121065,-1.040001150121065,SL,4
BTCUSDT,14.0,2023-02-13T00:00:00+00:00,2023-02-13T02:30:00+00:00,2067,1,21771.0,21618.0,153.0,23913.0,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0426882352941176,-1.0426882352941176,SL,31
BTCUSDT,14.0,2023-02-13T12:00:00+00:00,2023-02-13T16:35:00+00:00,2070,1,21595.9,21410.0,185.90000000000146,24198.500000000022,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0348508337816027,-1.0348508337816027,SL,56
BTCUSDT,14.0,2023-02-16T00:00:00+00:00,2023-02-16T00:00:00+00:00,2085,-1,24332.7,24420.0,87.29999999999927,23110.50000000001,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0836175257731966,-1.0836175257731966,SL,1
BTCUSDT,14.0,2023-03-03T04:00:00+00:00,2023-03-08T05:40:00+00:00,2176,1,22306.4,21883.2,423.2000000000007,28231.20000000001,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0158126654064272,-1.0158126654064272,SL,1461
BTCUSDT,14.0,2023-03-14T16:00:00+00:00,2023-03-14T18:20:00+00:00,2245,-1,25911.3,26489.9,578.6000000000022,17810.89999999997,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0134348254407188,0.6865651745592791,BE,29
BTCUSDT,14.0,2023-03-17T12:00:00+00:00,2023-03-17T12:00:00+00:00,2262,-1,26914.1,26980.0,65.90000000000146,25991.499999999978,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.1225224582701034,0.5774775417298965,BE,1
