tf_rule,bar_start_utc,bar_end_utc,hour_utc,weekday,weekday_name,event,atr,atr_roc_1,d_atr,close,fwd_range_pct_48m,fwd_range_pct_192m,fwd_range_pct_288m
4h,2022-10-07T08:00:00+00:00,2022-10-07T12:00:00+00:00,12,4,Friday,contract,0.012143200208768879,-0.042129841398025336,-0.0005340923237514526,0.4901,3.77473984901041,11.099775556008991,11.099775556008991
4h,2022-10-07T16:00:00+00:00,2022-10-07T20:00:00+00:00,20,4,Friday,expand,0.014718881812662968,0.16841955508566597,0.0021216244759490067,0.5181,2.296853889210581,3.6865469986489106,3.6865469986489106
4h,2022-10-10T20:00:00+00:00,2022-10-11T00:00:00+00:00,0,1,Tuesday,expand,0.014056144370226403,0.12113833742578928,0.001518758125367203,0.4938,2.7541514783313086,4.698258404212232,5.326042932361277
4h,2022-10-12T20:00:00+00:00,2022-10-13T00:00:00+00:00,0,3,Thursday,contract,0.012711512672683122,-0.045137290692501164,-0.0006008855902063914,0.4879,5.042016806722692,10.166017626562814,10.186513629842175
4h,2022-10-15T04:00:00+00:00,2022-10-15T08:00:00+00:00,8,5,Saturday,contract,0.013829475734178575,-0.051339449933743064,-0.0007484212103214243,0.4861,1.9337584859082422,2.4891997531372145,2.4891997531372145
4h,2022-10-16T04:00:00+00:00,2022-10-16T08:00:00+00:00,8,6,Sunday,contract,0.01122636889431364,-0.04280451666960383,-0.0005020283764856654,0.4836,1.3027295285359743,3.804797353184444,4.880066170388753
4h,2022-10-20T16:00:00+00:00,2022-10-20T20:00:00+00:00,20,3,Thursday,expand,0.011667488980104019,0.23470672172336826,0.0022178854630689193,0.4379,5.320849509020322,5.320849509020322,5.320849509020322
4h,2022-10-22T04:00:00+00:00,2022-10-22T08:00:00+00:00,8,5,Saturday,contract,0.010931704712832105,-0.04522661829915464,-0.0005178234394486256,0.4588,2.1578029642545817,2.877070619006113,2.877070619006113
4h,2022-10-22T20:00:00+00:00,2022-10-23T00:00:00+00:00,0,6,Sunday,contract,0.00982228546187,-0.04859688875512358,-0.0005017142662976908,0.4651,1.7415609546334112,3.0531068587400534,4.472156525478389
4h,2022-10-24T16:00:00+00:00,2022-10-24T20:00:00+00:00,20,0,Monday,contract,0.009614843651983137,-0.04225680903179241,-0.0004242187424602431,0.4561,1.6663012497259364,3.5737776803332686,6.467879850909894
4h,2022-11-04T08:00:00+00:00,2022-11-04T12:00:00+00:00,12,4,Friday,expand,0.010447163869885532,0.3385840383008538,0.0026425258561626483,0.4888,4.1939443535188135,5.52373158756138,5.52373158756138
