date,balance,daily_pnl
2023-06-02,23095.69,-338.73
2023-06-03,22640.6,-455.09
2023-06-05,30102.02,7461.42
2023-06-06,28991.43,-1110.59
2023-06-07,30976.1,1984.67
2023-06-10,33936.55,2960.45
2023-06-13,33295.92,-640.63
2023-06-14,32289.24,-1006.68
2023-06-15,31941.66,-347.58
2023-06-18,31413.81,-527.85
2023-06-19,30970.18,-443.63
2023-06-20,30198.01,-772.17
2023-06-21,29706.6,-491.41
2023-06-23,31453.51,1746.91
2023-06-27,31010.75,-442.76
2023-06-28,30845.44,-165.31
2023-06-30,30997.53,152.09
2023-07-01,29903.53,-1094.0
2023-07-04,29752.73,-150.8
2023-07-05,30976.77,1224.04
2023-07-06,30816.82,-159.95
2023-07-07,29663.55,-1153.27
2023-07-10,27915.21,-1748.34
2023-07-11,27515.71,-399.5
2023-07-12,27125.96,-389.75
2023-07-13,58647.99,31522.03
2023-07-14,58557.1,-90.89
2023-07-15,57744.19,-812.91
2023-07-16,55550.69,-2193.5
2023-07-17,59812.95,4262.26
2023-07-20,67832.94,8019.99
2023-07-21,67029.28,-803.66
2023-07-22,66641.78,-387.5
2023-07-23,65170.47,-1471.31
2023-07-24,75933.49,10763.02
2023-07-25,84466.18,8532.69
2023-07-26,84020.14,-446.04
2023-07-27,82815.31,-1204.83
2023-07-28,82391.87,-423.44
2023-07-30,81968.21,-423.66
2023-07-31,79416.08,-2552.13
2023-08-01,97770.83,18354.75
2023-08-02,96769.24,-1001.59
2023-08-03,100032.92,3263.68
2023-08-04,98391.22,-1641.7
2023-08-05,95597.41,-2793.81
2023-08-06,94255.0,-1342.41
2023-08-07,106641.73,12386.73
2023-08-08,100651.02,-5990.71
2023-08-09,99238.97,-1412.05
2023-08-10,97826.36,-1412.61
2023-08-12,96412.43,-1413.93
2023-08-13,100242.42,3829.99
2023-08-14,91881.72,-8360.7
2023-08-15,102856.31,10974.59
2023-08-16,107865.62,5009.31
2023-08-17,124958.9,17093.28
2023-08-19,124303.44,-655.46
2023-08-22,121902.78,-2400.66
2023-08-23,121240.6,-662.18
2023-08-29,116093.2,-5147.4
2023-08-30,115494.02,-599.18
2023-08-31,119243.04,3749.02
2023-09-01,122260.13,3017.09
2023-09-02,118890.46,-3369.67
2023-09-03,118257.81,-632.65
2023-09-05,116276.26,-1981.55
2023-09-06,111109.04,-5167.22
2023-09-07,107908.3,-3200.74
2023-09-08,106286.0,-1622.3
2023-09-10,108103.24,1817.24
2023-09-11,141481.51,33378.27
2023-09-12,137342.24,-4139.27
2023-09-13,136603.39,-738.85
2023-09-15,131668.16,-4935.23
2023-09-17,137066.13,5397.97
