exit_ts_utc,symbol,tp_r,r,equity_before,risk_usd,pnl_usd,withdrawal_usd,cumulative_withdrawn_usd,return_pct_trade,equity_after,equity_peak,drawdown_usd,drawdown_pct,day,week_start,month
2025-07-25 08:00:00+00:00,BTCUSDT,8.0,-1.4086825265643588,2348792.121396268,5000.0,-7043.4126328217935,0.0,962143.6488037287,-0.002998738189156881,2341748.708763446,2399003.5633510747,57254.854587628506,-0.023866098184385898,2025-07-25,2025-07-22,2025-07
2025-07-28 13:40:00+00:00,ETHUSDT,8.0,0.6760786724031951,2341748.708763446,5000.0,3380.3933620159755,0.0,962143.6488037287,0.0014435337785671217,2345129.102125462,2399003.5633510747,53874.461225612555,-0.02245701592471061,2025-07-28,2025-07-22,2025-07
2025-07-30 18:45:00+00:00,SOLUSDT,8.0,0.6402696629213473,2345129.102125462,5000.0,3201.348314606737,0.0,962143.6488037287,0.0013651053631568758,2348330.4504400687,2399003.5633510747,50673.11291100597,-0.021122566754433136,2025-07-30,2025-07-29,2025-07
2025-07-30 18:50:00+00:00,LINKUSDT,8.0,0.6403413793103487,2348330.4504400687,5000.0,3201.7068965517437,0.0,962143.6488037287,0.0013633970874719762,2351532.1573366206,2399003.5633510747,47471.406014454085,-0.019787968112954024,2025-07-30,2025-07-29,2025-07
2025-07-31 11:50:00+00:00,SOLUSDT,8.0,0.6912422885572145,2351532.1573366206,5000.0,3456.2114427860724,0.0,962143.6488037287,0.0014697700101624924,2354988.368779407,2399003.5633510747,44015.19457166782,-0.018347281864885878,2025-07-31,2025-07-29,2025-07
2025-08-01 04:00:00+00:00,LINKUSDT,8.0,-1.0611638554216851,2354988.368779407,5000.0,-5305.819277108426,0.0,962143.6488037287,-0.0022530129436938314,2349682.5495022982,2399003.5633510747,49321.01384877646,-0.020558958145056594,2025-08-01,2025-07-29,2025-08
2025-08-01 04:05:00+00:00,BTCUSDT,8.0,-1.1073258812615927,2349682.5495022982,5000.0,-5536.629406307963,0.0,962143.6488037287,-0.002356330819020941,2344145.9200959904,2399003.5633510747,54857.64325508429,-0.022866845257393353,2025-08-01,2025-07-29,2025-08
2025-08-01 20:00:00+00:00,ETHUSDT,8.0,-1.02067397521449,2344145.9200959904,5000.0,-5103.36987607245,0.0,962143.6488037287,-0.0021770700502567143,2339042.550219918,2399003.5633510747,59961.013131156564,-0.024994132583696316,2025-08-01,2025-07-29,2025-08
2025-08-02 14:30:00+00:00,XRPUSDT,8.0,-1.0132151785714285,2339042.550219918,5000.0,-5066.075892857142,0.0,962143.6488037287,-0.002165875901821806,2333976.474327061,2399003.5633510747,65027.08902401384,-0.027105874296068144,2025-08-02,2025-07-29,2025-08
2025-08-06 15:00:00+00:00,BTCUSDT,8.0,7.882953646733496,2333976.474327061,5000.0,39414.76823366748,0.0,962143.6488037287,0.016887388826415512,2373391.2425607285,2399003.5633510747,25612.320790346246,-0.010676232908370276,2025-08-06,2025-08-05,2025-08
2025-08-08 00:00:00+00:00,LINKUSDT,8.0,-2.8284999999999307,2373391.2425607285,5000.0,-14142.499999999654,0.0,962143.6488037287,-0.005958773145526927,2359248.742560729,2399003.5633510747,39754.82079034578,-0.016571388803947373,2025-08-08,2025-08-05,2025-08
2025-08-08 04:00:00+00:00,ETHUSDT,8.0,-1.0652124582869855,2359248.742560729,5000.0,-5326.062291434928,0.0,962143.6488037287,-0.002257524692226399,2353922.680269294,2399003.5633510747,45080.88308178075,-0.018791503176764368,2025-08-08,2025-08-05,2025-08
2025-08-08 04:00:00+00:00,XRPUSDT,8.0,-1.06592251655629,2353922.680269294,5000.0,-5329.61258278145,0.0,962143.6488037287,-0.002264140885957958,2348593.0676865126,2399003.5633510747,50410.4956645621,-0.02101309745207114,2025-08-08,2025-08-05,2025-08
2025-08-11 08:10:00+00:00,BTCUSDT,8.0,0.6215344294003848,2348593.0676865126,5000.0,3107.6721470019243,0.0,962143.6488037287,0.001323205875789774,2351700.7398335147,2399003.5633510747,47302.82351756003,-0.019717696230298398,2025-08-11,2025-08-05,2025-08
2025-08-11 21:40:00+00:00,ETHUSDT,8.0,5.437534199134221,2351700.7398335147,5000.0,27187.670995671106,0.0,962143.6488037287,0.011560854889043331,2378888.410829186,2399003.5633510747,20115.152521888725,-0.008384794766119752,2025-08-11,2025-08-05,2025-08
2025-08-12 02:25:00+00:00,LINKUSDT,8.0,0.6896739811912247,2378888.410829186,5000.0,3448.3699059561236,0.0,962143.6488037287,0.0014495719472415937,2382336.780735142,2399003.5633510747,16666.782615932636,-0.006947377182154546,2025-08-12,2025-08-12,2025-08
2025-08-12 20:00:00+00:00,ETHUSDT,8.0,-1.118488869257944,2382336.780735142,5000.0,-5592.44434628972,0.0,962143.6488037287,-0.002347461698746053,2376744.3363888524,2399003.5633510747,22259.226962222252,-0.009278530179058664,2025-08-12,2025-08-12,2025-08
