exit_ts,symbol,pnl_r,reason,pnl_usd,equity
2025-01-16 00:00:00+00:00,SOLUSDT,-1.123569387755107,SL,-920.85,31862.28
2025-01-16 16:00:00+00:00,LINKUSDT,-1.269567999999977,SL,-1011.28,30851.0
2025-01-17 08:00:00+00:00,DOGEUSDT,-1.023986929460581,SL,-789.78,30061.22
2025-01-19 08:00:00+00:00,DOGEUSDT,0.996504081632653,BE,748.9,30810.13
2025-01-19 08:00:00+00:00,XRPUSDT,0.9934744855967078,BE,765.23,31575.35
2025-01-19 20:00:00+00:00,LINKUSDT,-1.0143553672316383,SL,-800.72,30774.64
2025-01-20 12:00:00+00:00,BTCUSDT,0.9886028498511271,BE,760.6,31535.24
2025-01-20 12:00:00+00:00,LINKUSDT,-1.0202353846153847,SL,-804.33,30730.9
2025-01-20 12:00:00+00:00,SOLUSDT,0.9951880514705882,BE,764.58,31495.48
2025-01-20 20:00:00+00:00,LINKUSDT,0.9928956043956044,BE,781.79,32277.27
2025-01-22 00:00:00+00:00,LINKUSDT,-1.0173667391304348,SL,-820.95,31456.33
2025-01-27 12:00:00+00:00,XRPUSDT,0.9948497555012225,BE,782.36,32238.68
2025-02-03 00:00:00+00:00,LINKUSDT,-1.0089878787878788,SL,-813.21,31425.47
2025-02-07 00:00:00+00:00,DOGEUSDT,7.943309302325581,TP,6240.56,37666.03
2025-02-14 08:00:00+00:00,XRPUSDT,-1.0700675675675655,SL,-1007.63,36658.4
2025-02-14 16:00:00+00:00,XRPUSDT,-1.0140562607204116,SL,-929.34,35729.06
2025-02-15 00:00:00+00:00,DOGEUSDT,0.9920716746411483,BE,886.14,36615.2
2025-02-17 12:00:00+00:00,SOLUSDT,-1.0725,SL,-981.75,35633.46
2025-02-17 20:00:00+00:00,SOLUSDT,-1.0478539823008852,SL,-933.47,34699.99
2025-02-19 00:00:00+00:00,BTCUSDT,2.9618975695382117,BE,2569.45,37269.43
2025-02-21 00:00:00+00:00,BTCUSDT,2.7319621253406137,BE,2545.47,39814.9
2025-02-21 16:00:00+00:00,BTCUSDT,7.904074245864419,TP,7867.5,47682.4
2025-02-24 16:00:00+00:00,SOLUSDT,-1.012246923076923,SL,-1206.66,46475.74
2025-02-24 20:00:00+00:00,LINKUSDT,-1.028607647058824,SL,-1195.13,45280.61
2025-02-25 00:00:00+00:00,XRPUSDT,-1.0318716814159297,SL,-1168.09,44112.51
2025-02-25 04:00:00+00:00,BTCUSDT,-1.1279923076923077,SL,-1243.96,42868.55
2025-02-26 12:00:00+00:00,LINKUSDT,0.9941855513307984,BE,1065.48,43934.03
2025-02-27 00:00:00+00:00,XRPUSDT,2.9776914675767916,BE,3270.55,47204.58
2025-02-28 08:00:00+00:00,DOGEUSDT,-1.0693548780487816,SL,-1261.96,45942.62
2025-02-28 08:00:00+00:00,LINKUSDT,-1.0717620689655174,SL,-1230.99,44711.63
2025-02-28 08:00:00+00:00,SOLUSDT,7.9340051724137926,TP,8868.56,53580.19
2025-02-28 08:00:00+00:00,XRPUSDT,-1.1781999999999964,SL,-1578.2,52001.99
2025-03-02 20:00:00+00:00,XRPUSDT,-1.0071550964187328,SL,-1309.35,50692.63
2025-03-03 00:00:00+00:00,BTCUSDT,0.9813537970474797,BE,1243.69,51936.32
2025-03-03 00:00:00+00:00,DOGEUSDT,-1.0183482849604222,SL,-1322.23,50614.09
2025-03-03 00:00:00+00:00,LINKUSDT,-1.0124617647058822,SL,-1281.12,49332.97
2025-03-03 00:00:00+00:00,SOLUSDT,0.99351608040201,BE,1225.33,50558.29
2025-03-06 08:00:00+00:00,LINKUSDT,-1.0426818181818187,SL,-1317.91,49240.39
2025-03-06 16:00:00+00:00,LINKUSDT,5.970367796610169,BE,7349.58,56589.97
2025-03-09 20:00:00+00:00,DOGEUSDT,-1.0412232558139531,SL,-1473.07,55116.9
2025-03-10 04:00:00+00:00,BTCUSDT,2.9680348474844847,BE,4089.72,59206.62
2025-03-10 20:00:00+00:00,DOGEUSDT,-1.0155701863354036,SL,-1503.21,57703.41
2025-03-10 20:00:00+00:00,SOLUSDT,-1.0212563953488372,SL,-1473.25,56230.16
2025-03-11 00:00:00+00:00,BTCUSDT,-1.014589336697022,SL,-1426.26,54803.9
2025-03-11 00:00:00+00:00,LINKUSDT,-1.0096535175879398,SL,-1383.32,53420.57
2025-03-11 00:00:00+00:00,XRPUSDT,-1.0074096428571429,SL,-1345.41,52075.16
2025-03-15 08:00:00+00:00,XRPUSDT,5.872442105263159,BE,7645.21,59720.37
2025-03-15 16:00:00+00:00,XRPUSDT,0.9856585798816568,BE,1471.6,61191.97
2025-03-19 20:00:00+00:00,XRPUSDT,2.9778606936416185,BE,4555.53,65747.5
2025-03-20 04:00:00+00:00,BTCUSDT,5.855477580466147,BE,9624.58,75372.07
2025-03-20 04:00:00+00:00,LINKUSDT,7.804178260869563,TP,14705.43,90077.5
2025-03-24 04:00:00+00:00,BTCUSDT,-1.3864255988024625,SL,-3122.14,86955.36
2025-03-24 08:00:00+00:00,SOLUSDT,-1.1255545454545515,SL,-2446.82,84508.53
2025-03-24 12:00:00+00:00,LINKUSDT,-1.0336223880597017,SL,-2183.75,82324.79
2025-03-24 16:00:00+00:00,DOGEUSDT,-1.2412545454545476,SL,-2554.65,79770.14
2025-03-25 12:00:00+00:00,LINKUSDT,-1.0828818181818187,SL,-2159.54,77610.59
2025-03-25 12:00:00+00:00,SOLUSDT,-1.0099571428571428,SL,-1959.58,75651.01
2025-03-25 20:00:00+00:00,BTCUSDT,-1.0234929782082323,SL,-1935.71,73715.3
2025-03-26 12:00:00+00:00,BTCUSDT,5.932794279176202,BE,10933.44,84648.75
2025-03-26 12:00:00+00:00,SOLUSDT,2.97538125,BE,6296.56,90945.3
2025-03-27 08:00:00+00:00,LINKUSDT,2.9699656050955414,BE,6752.61,97697.91
2025-03-28 12:00:00+00:00,XRPUSDT,-1.1513636363636226,SL,-2812.15,94885.77
2025-03-29 16:00:00+00:00,BTCUSDT,-1.08447973296816,SL,-2572.54,92313.23
2025-03-29 16:00:00+00:00,SOLUSDT,-1.0379484848484846,SL,-2395.41,89917.82
2025-03-30 00:00:00+00:00,LINKUSDT,0.9804163461538462,BE,2203.92,92121.74
2025-03-30 04:00:00+00:00,SOLUSDT,0.9810421319796954,BE,2259.38,94381.12
2025-03-31 04:00:00+00:00,DOGEUSDT,-1.0235556603773586,SL,-2415.11,91966.01
2025-03-31 04:00:00+00:00,LINKUSDT,-1.017799557522124,SL,-2340.07,89625.94
2025-03-31 08:00:00+00:00,BTCUSDT,2.9093194362017822,BE,6518.76,96144.7
2025-03-31 08:00:00+00:00,XRPUSDT,-1.2012516129032047,SL,-2887.35,93257.35
2025-04-02 20:00:00+00:00,BTCUSDT,-1.0449660328435608,SL,-2436.27,90821.08
2025-04-03 20:00:00+00:00,SOLUSDT,2.9821734375,BE,6771.11,97592.19
2025-04-07 00:00:00+00:00,DOGEUSDT,-1.0238296875,SL,-2497.94,95094.24
