exit_ts,symbol,pnl_r,reason,withdrawal_usd,risk_usd_1r,pnl_usd,equity,period
2022-07-20 00:55:00+00:00,XRPUSDT,0.47083684210527027,BE,0.0,250.0,117.71,20318.55,"(2022, 7)"
2022-07-22 16:00:00+00:00,BTCUSDT,7.690820524017438,TP,0.0,250.0,1922.71,22241.26,"(2022, 7)"
2022-07-26 12:00:00+00:00,XRPUSDT,2.501329999999989,BE,0.0,250.0,625.33,22866.59,"(2022, 7)"
2022-07-26 20:00:00+00:00,BTCUSDT,4.970390000000061,BE,0.0,250.0,1242.6,24109.19,"(2022, 7)"
2022-07-26 20:00:00+00:00,DOGEUSDT,2.913985714285715,BE,0.0,250.0,728.5,24837.68,"(2022, 7)"
2022-07-26 20:00:00+00:00,LINKUSDT,-1.1024499999999962,SL,0.0,250.0,-275.61,24562.07,"(2022, 7)"
2022-07-26 20:00:00+00:00,SOLUSDT,-1.0874749999999966,SL,0.0,250.0,-271.87,24290.2,"(2022, 7)"
2022-07-26 20:00:00+00:00,XRPUSDT,4.602169999999978,BE,0.0,250.0,1150.54,25440.74,"(2022, 7)"
2022-07-28 08:00:00+00:00,BTCUSDT,0.6510814269535599,BE,0.0,250.0,162.77,25603.51,"(2022, 7)"
2022-07-29 00:00:00+00:00,DOGEUSDT,7.58030000000007,TP,0.0,250.0,1895.08,27498.59,"(2022, 7)"
2022-07-29 00:00:00+00:00,LINKUSDT,-1.0235153846153846,SL,0.0,250.0,-255.88,27242.71,"(2022, 7)"
2022-07-29 00:10:00+00:00,XRPUSDT,-1.0620833333333326,SL,0.0,250.0,-265.52,26977.19,"(2022, 7)"
2022-07-29 06:35:00+00:00,SOLUSDT,-1.0102984,SL,0.0,250.0,-252.57,26724.61,"(2022, 7)"
