symbol,tp_r,mfe1_r,lock1_r,mfe2_r,lock2_r,total_r,delta_vs_tp_only,delta_vs_stage1,win_pct,max_dd_r,avg_hold_h
SOLUSDT,8.0,0.5,1.0,1.5,2.5,50.7612,-22.5,24.5,44.09,8.5455,8.77
SOLUSDT,8.0,0.5,1.0,1.5,3.0,61.2612,-12.0,35.0,44.09,8.5455,8.77
SOLUSDT,8.0,0.5,1.0,1.75,1.5,34.7612,-38.5,8.5,44.09,10.061,8.95
SOLUSDT,8.0,0.5,1.0,1.75,2.0,43.2612,-30.0,17.0,44.09,9.061,8.9
SOLUSDT,8.0,0.5,1.0,1.75,2.5,46.2612,-27.0,20.0,44.09,8.5455,8.77
SOLUSDT,8.0,0.5,1.0,1.75,3.0,55.2612,-18.0,29.0,44.09,8.5455,8.77
SOLUSDT,8.0,0.5,1.0,2.0,1.5,33.2612,-40.0,7.0,44.09,10.061,8.99
SOLUSDT,8.0,0.5,1.0,2.0,2.0,40.2612,-33.0,14.0,44.09,9.061,8.95
SOLUSDT,8.0,0.5,1.0,2.0,2.5,41.7612,-31.5,15.5,44.09,8.5455,8.82
SOLUSDT,8.0,0.5,1.0,2.0,3.0,49.2612,-24.0,23.0,44.09,8.5455,8.82
SOLUSDT,8.0,0.5,1.0,2.5,1.5,32.2612,-41.0,6.0,44.09,10.061,8.99
SOLUSDT,8.0,0.5,1.0,2.5,2.0,38.2612,-35.0,12.0,44.09,9.061,8.95
SOLUSDT,8.0,0.5,1.0,2.5,2.5,38.7612,-34.5,12.5,44.09,8.5455,8.82
SOLUSDT,8.0,0.5,1.0,2.5,3.0,45.2612,-28.0,19.0,44.09,8.5455,8.82
LINKUSDT,3.0,0.5,1.0,1.25,1.5,10.4985,-3.5,2.5,37.88,9.5994,50.79
LINKUSDT,3.0,0.5,1.0,1.25,2.0,12.9985,-1.0,5.0,37.88,9.5994,50.79
LINKUSDT,3.0,0.5,1.0,1.25,2.5,15.4985,1.5,7.5,37.88,9.5994,50.79
LINKUSDT,3.0,0.5,1.0,1.25,3.0,17.9985,4.0,10.0,37.88,9.5994,50.79
LINKUSDT,3.0,0.5,1.0,1.5,1.5,10.4985,-3.5,2.5,37.88,9.5994,50.79
